,geoid,year,combined_id,total_pop,median_age,nonfamily_households,family_households,high_school_including_ged,graduate_professional_degree,some_college_and_associates_degree,housing_units,occupied_housing_units,median_structure_age,dwellings_under_4_units,dwellings_5_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,walked_to_work,commuters_by_public_transportation,commuters_by_car_truck_van,commute_under_10_mins,commute_10_29_mins,commute_30_59_mins,commute_over_60_mins,income_per_capita,gini_index,poverty,rent_over_50_percent,rent_25_to_50_percent,rent_under_25_percent,median_rent
0,16820,2007,16820.acs,193336.0,35.2,29989.0,47691.0,30909.0,23509.0,23748.0,87307.0,77680.0,38.0,69969.0,9540.0,2918.0,2116.0,4520.0,2711.0,77566.0,,47812.0,,,29142.0,0.449,24576.0,6714.0,7371.0,6623.0,784.0
1,12220,2007,12220.acs,130516.0,28.8,22784.0,32951.0,18196.0,9919.0,19381.0,61045.0,55735.0,27.0,36734.0,7352.0,1717.0,1231.0,681.0,427.0,55677.0,,34328.0,,,22292.0,0.457,22074.0,5199.0,6909.0,5432.0,477.0
2,37900,2007,37900.acs,369721.0,37.5,49897.0,98581.0,79943.0,17922.0,78321.0,162366.0,148478.0,55.0,138182.0,14082.0,2958.0,3502.0,3667.0,1388.0,158904.0,,99110.0,,,26177.0,0.437,36049.0,9479.0,12478.0,11232.0,488.0
3,40060,2007,40060.acs,1211608.0,37.1,155939.0,313105.0,237358.0,86909.0,207939.0,511135.0,469044.0,41.0,413434.0,59471.0,8494.0,13915.0,9692.0,8903.0,541344.0,107885.0,320735.0,192708.0,59274.0,28889.0,0.434,121425.0,28463.0,60237.0,31691.0,689.0
4,22180,2007,22180.acs,348940.0,32.8,38351.0,91107.0,64660.0,13734.0,80030.0,150916.0,129458.0,35.0,113052.0,11402.0,2496.0,892.0,2851.0,795.0,139108.0,,89002.0,,,20644.0,0.433,55421.0,11078.0,17196.0,11975.0,578.0
5,42580,2007,42580.acs,184291.0,41.8,22729.0,51986.0,48982.0,11432.0,34028.0,114540.0,74715.0,32.0,78927.0,6437.0,1256.0,2794.0,1627.0,413.0,74230.0,,38415.0,,,26162.0,0.421,16700.0,3326.0,5405.0,3910.0,598.0
6,49340,2007,49340.acs,781352.0,37.9,91241.0,198539.0,159899.0,63172.0,136098.0,316101.0,289780.0,61.0,263443.0,31013.0,8050.0,10718.0,9932.0,5395.0,349664.0,89272.0,172656.0,138574.0,74046.0,29489.0,0.438,72231.0,20792.0,32015.0,20620.0,710.0
7,24220,2007,24220.acs,97909.0,31.7,16724.0,22569.0,15381.0,4862.0,20119.0,44166.0,39293.0,46.0,30844.0,4985.0,3972.0,1597.0,1837.0,424.0,46375.0,,27498.0,,,22211.0,0.443,16524.0,4140.0,4707.0,3560.0,523.0
8,12700,2007,12700.acs,222175.0,46.5,36170.0,61390.0,43142.0,25526.0,46039.0,155524.0,97560.0,43.0,144391.0,6717.0,2365.0,1676.0,2532.0,1816.0,96155.0,,57640.0,,,33488.0,0.422,12589.0,4562.0,7395.0,3771.0,908.0
9,19340,2007,19340.acs,378163.0,38.0,52879.0,98725.0,81699.0,21782.0,77194.0,165455.0,151604.0,56.0,138834.0,14223.0,4120.0,3529.0,4417.0,1193.0,167581.0,,104747.0,,,24011.0,0.423,41980.0,8914.0,12944.0,12207.0,465.0
