,combined_id,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,16820.epa.total_pop,193336.0,193684.0,198217.0,199776.0,202406.0,206414.0,225531.0,227738.0,230602.0,229467.0,232182.0,231565.0
1,16820.epa.median_age,35.2,36.0,38.0,37.2,36.2,37.5,37.1,38.5,37.5,38.6,38.3,38.4
2,16820.epa.nonfamily_households,29989.0,30196.0,27928.0,30294.0,32938.0,27363.0,31843.0,31965.0,33397.0,34865.0,35495.0,33861.0
3,16820.epa.family_households,47691.0,46196.0,48082.0,46470.0,44683.0,50432.0,52752.0,55174.0,54552.0,52226.0,53137.0,54904.0
4,16820.epa.high_school_including_ged,30909.0,28531.0,30602.0,28331.0,33017.0,33518.0,37079.0,38850.0,36231.0,32148.0,34062.0,33724.0
5,16820.epa.graduate_professional_degree,23509.0,25439.0,26168.0,25273.0,28710.0,28912.0,31542.0,29551.0,32282.0,35053.0,31760.0,38129.0
6,16820.epa.some_college_and_associates_degree,23748.0,27887.0,29866.0,31570.0,24961.0,29796.0,32034.0,34226.0,41252.0,36316.0,35875.0,32550.0
7,16820.epa.housing_units,87307.0,87111.0,87659.0,89335.0,90068.0,90509.0,99512.0,99207.0,101909.0,101713.0,101682.0,103303.0
8,16820.epa.occupied_housing_units,77680.0,76392.0,76010.0,76764.0,77621.0,77795.0,84595.0,87139.0,87949.0,87091.0,88632.0,88765.0
9,16820.epa.median_structure_age,38.0,36.0,36.0,34.0,33.0,35.0,32.0,34.0,32.0,31.0,33.0,32.0
10,16820.epa.dwellings_under_4_units,69969.0,69889.0,69980.0,70714.0,69569.0,70859.0,78193.0,76169.0,81472.0,77347.0,77994.0,79150.0
11,16820.epa.dwellings_5_to_19_units,9540.0,8853.0,9314.0,9127.0,10062.0,10309.0,10137.0,9549.0,8031.0,11243.0,11194.0,11115.0
12,16820.epa.dwellings_20_to_49_units,2918.0,3424.0,2878.0,2550.0,3418.0,2344.0,2940.0,3002.0,2677.0,2514.0,2563.0,2448.0
