,year,acs_geoid,acs_cbsa_name,epa_site,longitude,latitude
0,2007,13620,"Berlin, NH-VT",33.007.4002,-71.21763899999999,44.308132
1,2007,25260,"Hanford-Corcoran, CA",06.031.0004,-119.56565,36.102244
2,2007,22660,"Fort Collins-Loveland, CO",08.069.1004,-105.07892,40.57747
3,2007,22660,"Fort Collins-Loveland, CO",08.069.0007,-105.54564,40.27813
4,2007,33340,"Milwaukee-Waukesha-West Allis, WI",55.133.0027,-88.21507,43.020075
5,2007,33340,"Milwaukee-Waukesha-West Allis, WI",55.079.0026,-87.91350399999999,43.060975
6,2007,33340,"Milwaukee-Waukesha-West Allis, WI",55.079.0010,-87.93333299999999,43.016667
7,2007,33340,"Milwaukee-Waukesha-West Allis, WI",55.079.0059,-87.93425099999999,42.955016
8,2007,36740,"Orlando-Kissimmee, FL",12.095.2002,-81.3625,28.596389
9,2007,33340,"Milwaukee-Waukesha-West Allis, WI",55.079.0053,-87.9937,43.00722
10,2007,36740,"Orlando-Kissimmee, FL",12.069.0002,-81.723333,28.523888999999997
11,2007,25260,"Hanford-Corcoran, CA",06.031.1004,-119.643447,36.31567
12,2007,42940,"Sevierville, TN",47.155.0101,-83.609612,35.696757999999996
13,2007,22660,"Fort Collins-Loveland, CO",08.069.0009,-105.079693,40.571287999999996
14,2007,16580,"Champaign-Urbana, IL",17.019.1001,-88.37250999999999,40.05278
15,2007,29140,"Lafayette, IN",18.157.0008,-86.8525,40.431639
16,2007,17900,"Columbia, SC",45.079.0019,-81.024141,33.991509
17,2007,41940,"San Jose-Sunnyvale-Santa Clara, CA",06.085.0005,-121.894898,37.348497
18,2007,17900,"Columbia, SC",45.079.0020,-81.034179,34.015494
19,2007,17900,"Columbia, SC",45.063.1002,-81.065326,33.969004
20,2007,22180,"Fayetteville, NC",37.051.0009,-78.95311199999999,35.041416
21,2007,41940,"San Jose-Sunnyvale-Santa Clara, CA",06.069.0003,-121.15688,36.483239999999995
22,2007,17900,"Columbia, SC",45.079.0007,-80.962304,34.093959
23,2007,17900,"Columbia, SC",45.079.1003,-81.036248,34.024497
24,2007,17900,"Columbia, SC",45.063.0009,-81.052675,33.973389
25,2007,41940,"San Jose-Sunnyvale-Santa Clara, CA",06.085.1001,-121.979675,37.226862
26,2007,41580,"Salisbury, NC",37.159.0021,-80.395039,35.551868
27,2007,10580,"Albany-Schenectady-Troy, NY",36.001.0012,-73.75733,42.680749999999996
28,2007,42260,"Sarasota-Bradenton-Venice, FL",12.115.0013,-82.507222,27.290556
29,2007,34100,"Morristown, TN",47.089.0002,-83.602077,36.105629
30,2007,19780,"Des Moines-West Des Moines, IA",19.153.0030,-93.643118,41.603159
31,2007,49420,"Yakima, WA",53.077.0009,-120.499167,46.598056
32,2007,46380,"Ukiah, CA",06.045.0009,-123.350288,39.402941999999996
33,2007,10580,"Albany-Schenectady-Troy, NY",36.083.1003,-73.68909,42.73194
34,2007,19780,"Des Moines-West Des Moines, IA",19.153.0059,-93.58385,41.583183
35,2007,20420,"Durango, CO",08.067.7001,-107.62863,37.13678
36,2007,20420,"Durango, CO",08.067.1004,-107.484167,37.303889999999996
37,2007,10580,"Albany-Schenectady-Troy, NY",36.083.0004,-73.46363,42.78189
38,2007,21500,"Erie, PA",42.049.0003,-80.038611,42.141749999999995
39,2007,27260,"Jacksonville, FL",12.031.0084,-81.68762,30.320507
40,2007,26900,"Indianapolis-Carmel, IN",18.097.0057,-86.186269,39.749027
41,2007,26900,"Indianapolis-Carmel, IN",18.097.0081,-86.21462799999999,39.788903
42,2007,26900,"Indianapolis-Carmel, IN",18.097.0078,-86.11444399999999,39.810832999999995
43,2007,26900,"Indianapolis-Carmel, IN",18.097.0073,-86.06085,39.789486
44,2007,26900,"Indianapolis-Carmel, IN",18.097.0084,-86.115415,39.758855
45,2007,45060,"Syracuse, NY",36.075.0003,-76.46324,43.284279999999995
46,2007,41860,"San Francisco-Oakland-Fremont, CA",06.001.0009,-122.169935,37.743065
