,year,acs_geoid,cbsa_name,epa_site,longitude,latitude
0,2016,13020,"Bay City, MI",0014,-83.890721,43.571391
1,2016,17020,"Chico, CA",4001,-121.668811,39.327563
2,2016,17020,"Chico, CA",0008,-121.84047,39.76168
3,2016,41740,"San Diego-Carlsbad, CA",2000,-116.345365,32.735455
4,2016,41740,"San Diego-Carlsbad, CA",1022,-116.944222,32.789561
5,2016,41740,"San Diego-Carlsbad, CA",1018,-116.968133,32.817978
6,2016,41740,"San Diego-Carlsbad, CA",1006,-116.768225,32.842242
7,2016,41740,"San Diego-Carlsbad, CA",1017,-117.08218,32.985442
8,2016,43340,"Shreveport-Bossier City, LA",0008,-93.74893999999999,32.536273
9,2016,25020,"Guayama, PR",0008,-66.165016,17.957894
10,2016,42300,"Sault Ste. Marie, MI",0901,-84.364207,46.493632999999996
11,2016,41740,"San Diego-Carlsbad, CA",0001,-117.059075,32.631231
12,2016,41740,"San Diego-Carlsbad, CA",1016,-117.123894,32.845467
13,2016,41740,"San Diego-Carlsbad, CA",1010,-117.149653,32.701492
14,2016,27460,"Jamestown-Dunkirk-Fredonia, NY",0006,-79.31881,42.499629999999996
15,2016,34420,"Mount Pleasant, TX",1078,-94.84740000000001,33.0752
16,2016,16620,"Charleston, WV",0011,-81.68471699999999,38.448833
17,2016,16620,"Charleston, WV",0020,-81.621161,38.346258
18,2016,23940,"Gillette, WY",0087,-105.19231,43.61752
19,2016,23940,"Gillette, WY",0123,-105.2903,44.6522
20,2016,14860,"Bridgeport-Stamford-Norwalk, CT",0017,-73.585128,41.004657
21,2016,49420,"Yakima, WA",0009,-120.499167,46.598056
22,2016,49420,"Yakima, WA",0015,-120.33266,46.38024
23,2016,23940,"Gillette, WY",0012,-105.91980000000001,44.3395
24,2016,23940,"Gillette, WY",0802,-105.42463599999999,44.135494
25,2016,23940,"Gillette, WY",0885,-105.321772,44.03413
26,2016,23940,"Gillette, WY",1111,-105.256646,43.535435
27,2016,14860,"Bridgeport-Stamford-Norwalk, CT",9003,-73.33666699999999,41.118333
28,2016,25900,"Hilo, HI",1006,-155.11052999999998,19.717561999999997
29,2016,25900,"Hilo, HI",2020,-155.778136,19.117561
30,2016,38840,"Port Clinton, OH",0008,-83.19070099999999,41.496126
31,2016,16220,"Casper, WY",0100,-106.36501,42.822309999999995
32,2016,16220,"Casper, WY",0001,-106.325088,42.851064
33,2016,41100,"St. George, UT",0130,-113.15060000000001,37.1983
34,2016,25900,"Hilo, HI",2023,-155.102028,19.555443999999998
35,2016,29200,"Lafayette-West Lafayette, IN",0002,-86.553035,40.540455
36,2016,25620,"Hattiesburg, MS",0004,-89.287167,31.323639
37,2016,29200,"Lafayette-West Lafayette, IN",0008,-86.8525,40.431639
38,2016,41100,"St. George, UT",0007,-113.30509599999999,37.179125
39,2016,17860,"Columbia, MO",0011,-92.31631999999999,39.07803
40,2016,25900,"Hilo, HI",0005,-155.2578,19.4308
41,2016,16220,"Casper, WY",0005,-106.27767,42.8463
42,2016,19380,"Dayton, OH",0005,-83.88705,39.80834
43,2016,38300,"Pittsburgh, PA",1301,-79.860973,40.402328
44,2016,38300,"Pittsburgh, PA",1376,-79.86357199999999,40.43743
45,2016,19380,"Dayton, OH",7001,-84.21804,39.71451
46,2016,30340,"Lewiston-Auburn, ME",0011,-70.214219,44.089406
47,2016,38300,"Pittsburgh, PA",0008,-79.505667,40.304694
48,2016,38300,"Pittsburgh, PA",0002,-80.503948,40.56252
49,2016,38300,"Pittsburgh, PA",0064,-79.868062,40.323768
50,2016,38300,"Pittsburgh, PA",0093,-80.021669,40.606624
51,2016,38300,"Pittsburgh, PA",0005,-79.902222,40.146667
52,2016,38300,"Pittsburgh, PA",5001,-80.420833,40.445277999999995
53,2016,38300,"Pittsburgh, PA",0014,-80.316442,40.747796
54,2016,38300,"Pittsburgh, PA",0020,-80.0309,41.0632
55,2016,19380,"Dayton, OH",0038,-84.198674,39.755969
56,2016,13620,"Berlin, NH-VT",4002,-71.21763899999999,44.308132
57,2016,21500,"Erie, PA",0004,-80.11332999999999,42.155833
58,2016,48260,"Weirton-Steubenville, WV-OH",0005,-80.59663499999999,40.341023
59,2016,48260,"Weirton-Steubenville, WV-OH",6000,-80.65033,40.240877
60,2016,44180,"Springfield, MO",0042,-93.204411,37.319185999999995
61,2016,32820,"Memphis, TN-MS-AR",0075,-89.85024899999999,35.151699
62,2016,30460,"Lexington-Fayette, KY",0012,-84.49761,38.06503
63,2016,35380,"New Orleans-Metairie, LA",9000,-89.76168299999999,30.108632999999998
64,2016,26580,"Huntington-Ashland, WV-KY-OH",0012,-82.659241,38.508075
65,2016,45060,"Syracuse, NY",1015,-76.05921,43.05235
66,2016,48260,"Weirton-Steubenville, WV-OH",0017,-80.61558,40.36644
67,2016,32820,"Memphis, TN-MS-AR",0005,-90.193141,35.197288
68,2016,26580,"Huntington-Ashland, WV-KY-OH",0017,-82.64041,38.45934
69,2016,48260,"Weirton-Steubenville, WV-OH",0011,-80.611813,40.394650999999996
70,2016,10900,"Allentown-Bethlehem-Easton, PA-NJ",0004,-75.4325,40.611944
71,2016,18860,"Crescent City, CA",0002,-124.083964,41.560952
72,2016,18860,"Crescent City, CA",0007,-124.20347,41.75613
73,2016,30460,"Lexington-Fayette, KY",0001,-84.58825,37.89147
74,2016,10900,"Allentown-Bethlehem-Easton, PA-NJ",8000,-75.237156,40.692223999999996
75,2016,10900,"Allentown-Bethlehem-Easton, PA-NJ",0025,-75.341111,40.628056
76,2016,35380,"New Orleans-Metairie, LA",0007,-89.97625,29.943164
77,2016,26580,"Huntington-Ashland, WV-KY-OH",0006,-82.4259,38.424133
78,2016,34580,"Mount Vernon-Anacortes, WA",0011,-122.61428,48.52059
79,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",4201,-87.799227,42.139996
80,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",0057,-87.722673,41.912738999999995
81,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1016,-87.832349,41.801179999999995
82,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",0022,-87.304722,41.606667
83,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",0034,-87.435435,41.653445999999995
84,2016,35220,"New Castle, IN",0003,-85.523455,40.009525
85,2016,39300,"Providence-Warwick, RI-MA",1004,-71.169235,41.685707
86,2016,28900,"Klamath Falls, OR",0004,-121.731369,42.190296
87,2016,16820,"Charlottesville, VA",0001,-78.50397,38.07657
88,2016,25540,"Hartford-West Hartford-East Hartford, CT",0007,-72.630015,41.552195999999995
89,2016,39300,"Providence-Warwick, RI-MA",1010,-71.36097,41.841038999999995
90,2016,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0008,-76.18123299999999,36.841882999999996
91,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",0076,-87.713488,41.751400000000004
92,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",0001,-87.732457,41.670992
93,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",3103,-87.87626499999999,41.965193
94,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",6005,-87.748902,41.864425999999995
95,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2008,-87.493611,41.639444
96,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1007,-87.810047,42.467573
97,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",0035,-87.49023299999999,41.681393
98,2016,28900,"Klamath Falls, OR",8001,-122.140861,42.909850999999996
99,2016,16980,"Chicago-Naperville-Elgin, IL-IN-WI",0001,-88.242207,42.221441999999996
100,2016,47980,"Watertown, SD",0002,-97.128802,44.89965
101,2016,39300,"Providence-Warwick, RI-MA",0026,-71.379971,41.874668
102,2016,39300,"Providence-Warwick, RI-MA",0022,-71.41296799999999,41.807469
103,2016,39300,"Providence-Warwick, RI-MA",0012,-71.405278,41.825556
