,geoid,Unnamed: 0,2007.mean.88502,2007.stdev.88502,2008.mean.88502,2008.stdev.88502,2009.mean.88502,2009.stdev.88502,2010.mean.88502,2010.stdev.88502,2011.mean.88502,2011.stdev.88502,2012.mean.88502,2012.stdev.88502,2013.mean.88502,2013.stdev.88502,2014.mean.88502,2014.stdev.88502,2015.mean.88502,2015.stdev.88502,2016.mean.88502,2016.stdev.88502,2017.mean.88502,2017.stdev.88502,2018.mean.88502,2018.stdev.88502,2007.mean.68105,2007.stdev.68105,2008.mean.68105,2008.stdev.68105,2009.mean.68105,2009.stdev.68105,2010.mean.68105,2010.stdev.68105,2011.mean.68105,2011.stdev.68105,2012.mean.68105,2012.stdev.68105,2013.mean.68105,2013.stdev.68105,2014.mean.68105,2014.stdev.68105,2015.mean.68105,2015.stdev.68105,2016.mean.68105,2016.stdev.68105,2017.mean.68105,2017.stdev.68105,2018.mean.68105,2018.stdev.68105
0,46180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19460,21.0,12.018421,7.652711999999998,9.150909,4.901165,7.3333330000000005,3.719838,8.486607000000001,3.401179,9.350526,4.784547,7.196330000000001,2.837021,6.922018,3.20244,7.422115,3.88662,6.7587720000000004,3.4496580000000003,6.392373,3.7631629999999996,6.389344,3.880888,6.215254,3.115597,,,,,,,,,,,,,,,,,,,,,,,,
6,30740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,36660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,39660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,29020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,43740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,37620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,44420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,44600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,34620,458.0,,,,,,,,,,,,,,,,,,,,,,,,,12.416505,11.465219,12.839823,10.923603,11.757265,9.968522,11.727928,11.869948,11.233036,10.71469,13.686554999999998,10.011036,10.60084,11.25283,10.579661,11.142515,12.746957,10.328086,13.038525,10.490322,11.889565,9.876433,11.188034,11.562023
15,35260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,25260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,33260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,38460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,21020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25860,936.0,,,,,,,,,,,,,,,,,,,,,,,,,17.565810999999997,8.8335565,17.788057000000002,8.042634666666666,16.492071,8.676862333333332,16.303941000000002,9.863421,16.033277666666667,8.460381333333332,15.581185333333336,7.861198666666667,15.089581333333333,8.240260666666666,11.676317333333332,7.575450999999998,16.499587,8.686163,17.52048,8.774807000000001,17.482758999999998,7.799778,15.862712,9.215727000000001
21,18180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,36460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,18700,1058.0,6.367131,6.708943,5.869399,4.638799,6.285753,4.881273,4.575824,3.223676,5.513573,4.431768,5.024225,3.589018,6.332113,6.168571999999998,5.077198,3.996459,5.633973,5.643307999999998,4.680928,3.3449050000000002,5.841457,6.069899,4.592937,4.850203,,,,,,,,,,,,,,,,,,,,,,,,
