,year,acs_geoid,acs_cbsa_name,epa_site,longitude,latitude
0,2015,21660,"Eugene, OR",41.039.0070,-122.044547,44.199819999999995
1,2015,21660,"Eugene, OR",41.039.9004,-123.053487,43.799501
2,2015,21660,"Eugene, OR",41.039.0059,-123.141352,44.067223999999996
3,2015,39740,"Reading, PA",42.011.0011,-75.96860000000001,40.38335
4,2015,12620,"Bangor, ME",23.019.0010,-68.82034999999999,44.8166
5,2015,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",06.079.2007,-120.58777,35.04673
6,2015,21660,"Eugene, OR",41.039.2013,-122.480487,43.744352
7,2015,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",06.079.8005,-120.23134999999999,35.643679999999996
8,2015,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",06.079.4002,-120.50103,35.031459999999996
9,2015,12620,"Bangor, ME",23.019.0002,-68.76967499999999,44.79886
10,2015,12620,"Bangor, ME",23.019.9000,-68.64788,44.94798
11,2015,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",06.079.8001,-120.66803999999999,35.49158
12,2015,23420,"Fresno, CA",06.019.0011,-119.77321,36.785379999999996
13,2015,23420,"Fresno, CA",06.019.0007,-119.741332,36.705473999999995
14,2015,44180,"Springfield, MO",29.077.0032,-93.284874,37.199540999999996
15,2015,12420,"Austin-Round Rock, TX",48.453.0020,-97.872301,30.483168
16,2015,12420,"Austin-Round Rock, TX",48.453.0014,-97.760255,30.354436
17,2015,28060,"Kalispell, MT",30.029.8001,-113.99681,48.5103
18,2015,28060,"Kalispell, MT",30.029.0049,-114.189272,48.363693999999995
19,2015,41740,"San Diego-Carlsbad, CA",06.073.1018,-116.968133,32.817978
20,2015,41740,"San Diego-Carlsbad, CA",06.073.1019,-117.029028,32.543475
21,2015,41740,"San Diego-Carlsbad, CA",06.073.1006,-116.768225,32.842242
22,2015,41740,"San Diego-Carlsbad, CA",06.073.1002,-117.07532499999999,33.127711
23,2015,41740,"San Diego-Carlsbad, CA",06.073.1016,-117.123894,32.845467
24,2015,41740,"San Diego-Carlsbad, CA",06.073.1014,-116.92135,32.57816
25,2015,16300,"Cedar Rapids, IA",19.113.0040,-91.68766,41.976769999999995
26,2015,16300,"Cedar Rapids, IA",19.113.0033,-91.526879,42.281013
27,2015,41740,"San Diego-Carlsbad, CA",06.073.2000,-116.345365,32.735455
28,2015,41740,"San Diego-Carlsbad, CA",06.073.1008,-117.396158,33.217025
29,2015,23420,"Fresno, CA",06.019.5001,-119.716433,36.819449
30,2015,23420,"Fresno, CA",06.019.4001,-119.503659,36.597442
31,2015,30300,"Lewiston, ID-WA",16.069.0013,-116.8062,46.397200000000005
32,2015,41740,"San Diego-Carlsbad, CA",06.073.1001,-117.264088,32.952124
33,2015,34580,"Mount Vernon-Anacortes, WA",53.057.0011,-122.61428,48.52059
34,2015,22900,"Fort Smith, AR-OK",40.135.9021,-94.524413,35.408139999999996
35,2015,11460,"Ann Arbor, MI",26.161.0008,-83.59960199999999,42.240565
36,2015,29200,"Lafayette-West Lafayette, IN",18.157.0008,-86.8525,40.431639
37,2015,35220,"New Castle, IN",18.065.0003,-85.523455,40.009525
38,2015,29200,"Lafayette-West Lafayette, IN",18.015.0002,-86.553035,40.540455
39,2015,34580,"Mount Vernon-Anacortes, WA",53.057.0018,-122.520388,48.459928
40,2015,12300,"Augusta-Waterville, ME",23.011.0016,-69.786717,44.312318999999995
41,2015,24540,"Greeley, CO",08.123.0011,-104.33,40.65
42,2015,24540,"Greeley, CO",08.123.0008,-104.82405,40.209387
43,2015,26420,"Houston-The Woodlands-Sugar Land, TX",48.201.0026,-95.125495,29.802706999999998
44,2015,26420,"Houston-The Woodlands-Sugar Land, TX",48.201.1039,-95.128508,29.670025
45,2015,26420,"Houston-The Woodlands-Sugar Land, TX",48.201.1035,-95.257593,29.733725999999997
46,2015,26420,"Houston-The Woodlands-Sugar Land, TX",48.201.0024,-95.326137,29.901035999999998
47,2015,26420,"Houston-The Woodlands-Sugar Land, TX",48.201.1052,-95.38768999999999,29.814529999999998
48,2015,26420,"Houston-The Woodlands-Sugar Land, TX",48.201.1034,-95.220582,29.767996999999998
49,2015,43340,"Shreveport-Bossier City, LA",22.015.0008,-93.74893999999999,32.536273
50,2015,35380,"New Orleans-Metairie, LA",22.071.0021,-90.11819,29.996012999999998
51,2015,35380,"New Orleans-Metairie, LA",22.071.9000,-89.76168299999999,30.108632999999998
52,2015,35380,"New Orleans-Metairie, LA",22.093.0002,-90.817415,29.99497
53,2015,13740,"Billings, MT",30.111.0085,-108.511542,45.7804
54,2015,30340,"Lewiston-Auburn, ME",23.001.0011,-70.214219,44.089406
55,2015,10100,"Aberdeen, SD",46.013.0003,-98.486111,45.462500000000006
56,2015,26420,"Houston-The Woodlands-Sugar Land, TX",48.201.0066,-95.63583299999999,29.723333
57,2015,26420,"Houston-The Woodlands-Sugar Land, TX",48.201.1015,-95.079444,29.758889
58,2015,26420,"Houston-The Woodlands-Sugar Land, TX",48.039.1004,-95.39250899999999,29.520443
59,2015,26420,"Houston-The Woodlands-Sugar Land, TX",48.167.0005,-94.93151999999999,29.385233999999997
60,2015,35380,"New Orleans-Metairie, LA",22.103.0002,-90.19967799999999,30.429381
61,2015,41820,"Sanford, NC",37.105.0002,-79.2887,35.432500000000005
62,2015,48260,"Weirton-Steubenville, WV-OH",54.009.6000,-80.65033,40.240877
63,2015,26140,"Homosassa Springs, FL",12.017.0005,-82.644381,28.980556
64,2015,29620,"Lansing-East Lansing, MI",26.065.0012,-84.534633,42.738617999999995
65,2015,48260,"Weirton-Steubenville, WV-OH",39.081.0017,-80.61558,40.36644
66,2015,48260,"Weirton-Steubenville, WV-OH",39.081.0021,-80.607945,40.319511
67,2015,15620,"Cadillac, MI",26.113.0001,-84.891865,44.310555
68,2015,31700,"Manchester-Nashua, NH",33.011.5001,-71.878626,42.86183
69,2015,26140,"Homosassa Springs, FL",12.017.9000,-82.554769,28.748677999999998
70,2015,41540,"Salisbury, MD-DE",10.005.1002,-75.6106,38.6539
71,2015,48260,"Weirton-Steubenville, WV-OH",39.081.0020,-80.63998699999999,40.259474999999995
72,2015,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36.029.1014,-78.89926,42.998129999999996
73,2015,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36.029.0025,-78.88520799999999,42.904506
74,2015,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36.029.0005,-78.80952599999999,42.876906999999996
75,2015,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36.029.0023,-78.76582499999999,42.921107
76,2015,28420,"Kennewick-Richland, WA",53.005.0002,-119.20415299999999,46.21835
77,2015,28420,"Kennewick-Richland, WA",53.021.0002,-119.0021,46.5754
78,2015,24580,"Green Bay, WI",55.061.0002,-87.50524,44.44312
79,2015,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36.029.1013,-78.91859,42.98844
80,2015,14020,"Bloomington, IN",18.105.0003,-86.504762,39.159383
81,2015,37140,"Paducah, KY-IL",21.139.0004,-88.33389,37.071509999999996
82,2015,26580,"Huntington-Ashland, WV-KY-OH",21.019.0002,-82.63136999999999,38.47676
83,2015,26580,"Huntington-Ashland, WV-KY-OH",21.019.0017,-82.64041,38.45934
84,2015,26580,"Huntington-Ashland, WV-KY-OH",54.011.0006,-82.4259,38.424133
85,2015,30780,"Little Rock-North Little Rock-Conway, AR",05.119.1004,-92.24358699999999,34.729603
86,2015,45220,"Tallahassee, FL",12.129.0001,-84.16111099999999,30.0925
87,2015,42100,"Santa Cruz-Watsonville, CA",06.087.0007,-121.98822,36.98332
88,2015,41100,"St. George, UT",49.053.0130,-113.15060000000001,37.1983
89,2015,45220,"Tallahassee, FL",12.073.0012,-84.346389,30.439722
90,2015,24780,"Greenville, NC",37.147.0006,-77.360126,35.641276
91,2015,17820,"Colorado Springs, CO",08.041.0016,-104.901289,38.853097
92,2015,30780,"Little Rock-North Little Rock-Conway, AR",05.119.0007,-92.281296,34.756189
93,2015,43100,"Sheboygan, WI",55.117.0009,-87.79223499999999,43.815596
94,2015,43100,"Sheboygan, WI",55.117.0006,-87.716213,43.667418
95,2015,34740,"Muskegon, MI",26.121.0039,-86.311083,43.278061
96,2015,49420,"Yakima, WA",53.077.0009,-120.499167,46.598056
97,2015,49420,"Yakima, WA",53.077.0015,-120.33266,46.38024
98,2015,12100,"Atlantic City-Hammonton, NJ",34.001.0006,-74.448736,39.464872
99,2015,42200,"Santa Maria-Santa Barbara, CA",06.083.1025,-120.04692,34.48974
100,2015,42200,"Santa Maria-Santa Barbara, CA",06.083.1008,-120.435611,34.942872
101,2015,42200,"Santa Maria-Santa Barbara, CA",06.083.4003,-120.631315,34.5959
102,2015,46020,"Truckee-Grass Valley, CA",06.057.1001,-120.184592,39.32783
103,2015,49420,"Yakima, WA",53.077.0005,-119.99967699999999,46.31932
104,2015,42200,"Santa Maria-Santa Barbara, CA",06.083.9000,-120.008349,34.733889
105,2015,42200,"Santa Maria-Santa Barbara, CA",06.083.2004,-120.45750000000001,34.63782
106,2015,36260,"Ogden-Clearfield, UT",49.011.0004,-111.884467,40.902967
107,2015,41980,"San Juan-Carolina-Caguas, PR",72.033.0008,-66.126531,18.440773999999998
108,2015,21340,"El Paso, TX",48.141.0037,-106.50126,31.768290999999998
109,2015,21340,"El Paso, TX",48.141.0044,-106.455227,31.765684999999998
110,2015,41980,"San Juan-Carolina-Caguas, PR",72.053.0003,-65.618888,18.383983
111,2015,21780,"Evansville, IN-KY",18.173.0002,-87.314173,37.937560999999995
112,2015,21780,"Evansville, IN-KY",18.173.0012,-87.317583,37.918009999999995
113,2015,36420,"Oklahoma City, OK",40.109.0097,-97.577981,35.50307
114,2015,36420,"Oklahoma City, OK",40.109.1037,-97.475083,35.614131
115,2015,21780,"Evansville, IN-KY",18.163.0021,-87.57722199999999,38.013332999999996
116,2015,36420,"Oklahoma City, OK",40.051.0065,-97.70780099999999,34.877064
117,2015,36260,"Ogden-Clearfield, UT",49.057.0002,-111.97552400000001,41.206320999999996
118,2015,21340,"El Paso, TX",48.141.0029,-106.323578,31.785769
119,2015,36420,"Oklahoma City, OK",40.081.9024,-97.02481999999999,35.913419999999995
120,2015,21780,"Evansville, IN-KY",18.173.0005,-87.322267,37.932182999999995
121,2015,19460,"Decatur, AL",01.079.0002,-87.33973,34.342904
122,2015,14860,"Bridgeport-Stamford-Norwalk, CT",09.001.1123,-73.443056,41.399167
123,2015,22180,"Fayetteville, NC",37.051.0009,-78.95311199999999,35.041416
124,2015,18020,"Columbus, IN",18.005.0008,-85.89133199999999,39.237457
125,2015,21780,"Evansville, IN-KY",18.163.0016,-87.53228899999999,37.974436
126,2015,36260,"Ogden-Clearfield, UT",49.057.1003,-111.987871,41.303613999999996
127,2015,21340,"El Paso, TX",48.141.1021,-106.5473,31.86247
128,2015,36420,"Oklahoma City, OK",40.081.9025,-97.090278,35.4884
